cycle,type,ambient_temperature,capacity,voltage_min,voltage_max,voltage_mean,voltage_std,current_mean,current_std,temperature_mean,temperature_max,temperature_min,temperature_std,discharge_time,timestamp,SOH,capacity_rolling_mean_3,capacity_rolling_std_3,capacity_rolling_min_3,capacity_rolling_max_3,temp_rolling_mean_3,temp_rolling_max_3,capacity_rolling_mean_5,capacity_rolling_std_5,capacity_rolling_min_5,capacity_rolling_max_5,temp_rolling_mean_5,temp_rolling_max_5,capacity_rolling_mean_10,capacity_rolling_std_10,capacity_rolling_min_10,capacity_rolling_max_10,temp_rolling_mean_10,temp_rolling_max_10,capacity_diff,capacity_diff_pct,cumulative_fade,cumulative_fade_pct,capacity_diff_diff,capacity_ewma,voltage_range,voltage_variance,temp_increase,discharge_time_change,resistance_proxy,cycle_normalized,cycle_squared,cycle_sqrt,days_elapsed,capacity_skew,capacity_kurtosis,capacity_trend,capacity_increase,regeneration_count,capacity_change_variance
2,discharge,24.0,1.8564874208181574,2.612467347907089,4.191491807505295,3.5298286688693397,0.2359570706808563,1.818711710270297,0.593546181674474,32.572328114029,38.98218133148803,24.325993424022467,3.4869204762216834,3690.234,2008-04-01 00:00:00,0.9282437104090787,1.8564874208181574,0.00718432588157438,1.8564874208181574,1.8564874208181574,32.572328114029,38.98218133148803,1.8564874208181574,0.00718432588157438,1.8564874208181574,1.8564874208181574,32.572328114029,38.98218133148803,1.8564874208181574,0.00718432588157438,1.8564874208181574,1.8564874208181574,32.572328114029,38.98218133148803,-0.01016017109823042,-0.005472792858328579,0.0,0.0,-0.0008178843982888928,1.8564874208181574,1.5790244595982057,2.8060978349790463e-05,14.982181331488029,-17.889999999999873,0.8682099435944071,0.004454342984409799,4,1.4142135623730951,0.0,0.0,0.0,-0.01016017109823042,0,0.0,3.3446744448219214e-07
4,discharge,24.0,1.846327249719927,2.587208728940726,4.189773213846608,3.5373201277859714,0.23476492928592219,1.8176438989718113,0.5951796218062511,32.72523522519307,39.033397966787035,24.685948163596,3.4267342264664666,3672.344,2008-04-01 03:00:00,0.9231636248599635,1.8514073352690423,0.00718432588157438,1.846327249719927,1.8564874208181574,32.64878166961103,39.033397966787035,1.8514073352690423,0.00718432588157438,1.846327249719927,1.8564874208181574,32.64878166961103,39.033397966787035,1.8514073352690423,0.00718432588157438,1.846327249719927,1.8564874208181574,32.64878166961103,39.033397966787035,-0.01016017109823042,-0.005472792858328579,0.01016017109823042,0.00547279285832856,-0.0008178843982888928,1.8546401169821154,1.6025644849058818,2.8060978349790463e-05,15.033397966787035,-17.889999999999873,0.8816708290009814,0.008908685968819599,16,2.0,0.125,0.0,0.0,-0.01016017109823042,0,0.0,3.3446744448219214e-07
6,discharge,24.0,1.8353491942234077,2.6519168938437794,4.188186735991303,3.5437367282719,0.22752543549673088,1.8165423469233573,0.5964980204475099,32.64286193755933,38.818796689817404,24.734266163954402,3.379475042762775,3651.641,2008-04-01 06:00:00,0.9176745971117038,1.8460546215871638,0.010571750113714746,1.8353491942234077,1.8564874208181574,32.6468084255938,39.033397966787035,1.8460546215871638,0.010571750113714746,1.8353491942234077,1.8564874208181574,32.6468084255938,39.033397966787035,1.8460546215871638,0.010571750113714746,1.8353491942234077,1.8564874208181574,32.6468084255938,39.033397966787035,-0.010978055496519312,-0.005945888248242381,0.02113822659474973,0.011386140491829498,-0.0008178843982888928,1.851132676480532,1.536269842147524,4.845480580679278e-05,14.818796689817404,-20.702999999999975,0.845710533001854,0.013363028953229399,36,2.449489742783178,0.25,-0.04734474147442984,0.0,-0.01056911329737505,0,0.0,3.3446744448219214e-07
8,discharge,24.0,1.8352625275821128,2.592947964776547,4.188461118855572,3.5436661072601456,0.23274431724182537,1.8256179748849433,0.5834624841611844,32.51487646204882,38.7623045063458,24.652243741292516,3.3865437316993527,3631.563,2008-04-01 09:00:00,0.9176312637910564,1.838979657175149,0.006363349348396389,1.8352625275821128,1.846327249719927,32.62765787493374,39.033397966787035,1.8433565980859012,0.01017964915397468,1.8352625275821128,1.8564874208181574,32.61382543470755,39.033397966787035,1.8433565980859012,0.01017964915397468,1.8352625275821128,1.8564874208181574,32.61382543470755,39.033397966787035,-8.666664129486357e-05,-4.7220791317359456e-05,0.021224893236044595,0.011432823620582759,0.010891388855224449,1.8482471948626376,1.5955131540790246,4.3539998239504794e-05,14.7623045063458,-20.077999999999975,0.8739573679001553,0.017817371937639197,64,2.8284271247461903,0.375,0.45482783337936283,-1.4185512205663946,-0.007465273520465795,0,0.0,3.67944630214287e-05
10,discharge,24.0,1.8346455082120419,2.547419651124539,4.188298524761055,3.5423432526672167,0.2366885716567803,1.8261478651693803,0.5834685498827803,32.38234901543077,38.66539257343368,24.518700434435164,3.3958806914600226,3629.172,2008-04-01 12:00:00,0.9173227541060209,1.8350857433391876,0.00038370952824048036,1.8346455082120419,1.8353491942234077,32.51336247167964,38.818796689817404,1.8416143801111293,0.009638234279763283,1.8346455082120419,1.8564874208181574,32.56753015085219,39.033397966787035,1.8416143801111293,0.009638234279763283,1.8346455082120419,1.8564874208181574,32.56753015085219,39.033397966787035,-0.0006170193700709703,-0.00033620223853414455,0.021841912606115566,0.011765182118222915,-0.0005303527287761067,1.8457741609261655,1.6408788736365159,3.5400914430780974e-05,14.665392573433678,-2.3910000000000764,0.8985460632117305,0.022271714922048998,100,3.1622776601683795,0.5,0.7973227734300974,-1.0100012431173528,-0.005474854735004419,0,0.0,3.495590555547773e-05
12,discharge,24.0,1.8356616600675495,2.5209480504077413,4.188815807948604,3.5413347346347575,0.23931625998293235,1.8168998532879652,0.5967015706365189,32.43418218230641,38.75169504640032,24.51442664842638,3.4173255675455376,3652.281,2008-04-01 15:00:00,0.9178308300337747,1.835189898620568,0.0005119544637062016,1.8346455082120419,1.8356616600675495,32.443802553261996,38.7623045063458,1.8374492279610077,0.004976628226079067,1.8346455082120419,1.846327249719927,32.53990096450768,39.033397966787035,1.840622260103866,0.008956688041801837,1.8346455082120419,1.8564874208181574,32.545305489427896,39.033397966787035,0.0010161518555076299,0.000553868227382015,0.020825760750607936,0.011217830251405627,0.0016331712255786002,1.843935524406417,1.6678677575408627,6.93558776204322e-06,14.751695046400322,23.108999999999924,0.9179740075098738,0.026726057906458798,144,3.4641016151377544,0.625,1.0802637557759707,-0.46807142039840155,-0.003978876997656723,1,1.0,3.460627641621748e-05
14,discharge,24.0,1.8351461429226603,2.487927319492314,4.18839163793879,3.5410250495075215,0.2425153341196382,1.8168378953364732,0.5964919190059063,32.480416444757985,38.8207012322275,24.575581239008407,3.419542558294876,3650.828,2008-04-01 18:00:00,0.9175730714613302,1.835151103734084,0.0005080940912910622,1.8346455082120419,1.8356616600675495,32.432315880831716,38.8207012322275,1.8352130066015544,0.00037041007750413576,1.8346455082120419,1.8356616600675495,32.49093720842066,38.8207012322275,1.839839957649408,0.008434207953934968,1.8346455082120419,1.8564874208181574,32.53603562590363,39.033397966787035,-0.0005155171448891771,-0.000280834511121264,0.021341277895497113,0.011495514408652428,-0.001531669000396807,1.8423374550457339,1.700464318446476,1.6040319228718813e-06,14.8207012322275,-1.4529999999999745,0.935946672438205,0.031180400890868598,196,3.7416573867739413,0.75,1.3153068433987007,0.11017426705460887,-0.003073524964378982,0,1.0,2.9904993744876945e-05
16,discharge,24.0,1.8257567905665537,2.6652049047458775,4.188927891511958,3.554133296801584,0.22731251096165395,1.8444082717328028,0.5573831672048897,32.41046186109587,38.51713023385634,24.71132429046902,3.3516161723228617,3572.453,2008-04-01 21:00:00,0.9128783952832769,1.8321881978522547,0.005575723203100997,1.8257567905665537,1.8356616600675495,32.441686829386754,38.8207012322275,1.8332945258701834,0.004229286214927968,1.8257567905665537,1.8356616600675495,32.44445719312797,38.8207012322275,1.8380795617640513,0.009260969006376494,1.8257567905665537,1.8564874208181574,32.52033890530266,39.033397966787035,-0.009389352356106606,-0.005116405792703338,0.03073063025160372,0.016553104484845187,-0.008873835211217429,1.839322788776792,1.5237229867660806,3.0060381998117973e-05,14.517130233856342,-78.375,0.8261306262761081,0.035634743875278395,256,4.0,0.875,0.9238414435572988,0.17110856285942644,-0.003222613899823862,0,1.0,2.9780504960192624e-05
18,discharge,24.0,1.8247738529891333,2.6038584726333673,4.189029250882121,3.5529355991467955,0.2324538495076242,1.854064004450843,0.5424840616663397,32.3461408313,38.526267904657,24.628487294051176,3.3724043396197616,3550.594,2008-04-02 00:00:00,0.9123869264945667,1.8285589288261157,0.005725826030851098,1.8247738529891333,1.8351461429226603,32.412339712384615,38.8207012322275,1.8311967909515878,0.0054376884844423365,1.8247738529891333,1.8356616600675495,32.410710066978204,38.8207012322275,1.836601149677949,0.00973222349912521,1.8247738529891333,1.8564874208181574,32.50098356374681,39.033397966787035,-0.0009829375774204063,-0.00053837268057777,0.031713567829024125,0.01708256542618958,0.0084064147786862,1.8366775277244902,1.5851707782487536,4.3377934408640525e-05,14.526267904656997,-21.858999999999924,0.8549704430229871,0.0400890868596882,324,4.242640687119285,1.0,0.8398030950163882,0.11566336870944083,-0.003142876981538023,0,1.0,2.6977233093188932e-05
20,discharge,24.0,1.824613268496936,2.552853984885676,4.189223427076418,3.5512057319376997,0.23672870147542147,1.853658588102974,0.5423346882876612,32.27679750791685,38.52698128472781,24.561560340089137,3.384318782535614,3551.25,2008-04-02 03:00:00,0.912306634248468,1.8250479706842075,0.0006190848600988827,1.824613268496936,1.8257567905665537,32.34446673343757,38.52698128472781,1.8291903430085668,0.0056919630762028665,1.824613268496936,1.8356616600675495,32.389599765475424,38.8207012322275,1.8354023615598478,0.009927894258012413,1.824613268496936,1.8564874208181574,32.47856495816381,39.033397966787035,-0.00016058449219724658,-8.800240749518018e-05,0.03187415232122137,0.017169064526801035,0.0008223530852231598,1.834484026046753,1.636369442190742,4.131234672195969e-05,14.52698128472781,0.6559999999999491,0.8827777509382909,0.044543429844097995,400,4.47213595499958,1.125,0.8765670692738073,0.13721026195693042,-0.002939613141900994,0,1.0,2.5212574549841214e-05
22,discharge,24.0,1.8246195526864504,2.4724483018527317,4.188916055911241,3.549292319740949,0.2430973444996006,1.863423718930417,0.5267409991401001,32.15709350345252,38.54143406601644,24.43128509546442,3.4192563180601603,3530.25,2008-04-02 06:00:00,0.9123097763432252,1.82466889139084,9.095370036621653e-05,1.824613268496936,1.8247738529891333,32.26001061422313,38.54143406601644,1.8269819215323466,0.004588636160427983,1.824613268496936,1.8351461429226603,32.33418202970464,38.8207012322275,1.8322155747466773,0.007127418894914864,1.824613268496936,1.846327249719927,32.437041497106165,39.033397966787035,6.284189514316196e-06,3.444121350337781e-06,0.031867868131707056,0.017165679537792303,0.00016686868171156277,1.8326904854357888,1.7164677540585092,2.6952431895976816e-05,14.541434066016443,-21.0,0.9211360870235427,0.04899777282850779,484,4.69041575982343,1.25,0.44978255872968914,-0.5331446438082428,-0.0021220957359565926,1,2.0,2.366990607247465e-05
