cycle,type,ambient_temperature,capacity,voltage_min,voltage_max,voltage_mean,voltage_std,current_mean,current_std,temperature_mean,temperature_max,temperature_min,temperature_std,discharge_time,timestamp,SOH
2,discharge,24.0,1.89105229539079,2.145975766935391,4.199497433806136,3.522006703394617,0.2874452516516924,1.869128126500791,0.4752966796525294,32.62485875142121,40.59042914535701,23.92407356409745,3.8821725491629793,3690.234,2008-04-01 00:00:00,0.945526147695395
4,discharge,24.0,1.880637027686859,2.1110166987852117,4.198510349854315,3.5319490434317116,0.2797089856913086,1.868091214569674,0.47659959994822176,32.738209593287145,40.26023408628707,24.261106709876195,3.767777623445933,3672.344,2008-04-01 03:00:00,0.9403185138434295
6,discharge,24.0,1.8806626717011388,2.0251085128182655,4.198280074112568,3.5344025220217845,0.28372654574505013,1.877784734502072,0.4584167741596034,32.68511456550919,40.27558633997852,24.3190033925327,3.746724750145294,3651.641,2008-04-01 06:00:00,0.9403313358505694
8,discharge,24.0,1.8807709009833444,1.922542180649595,4.198267468745592,3.53492504932652,0.29008702878464626,1.8875256535871228,0.43922371626617773,32.554748499572646,40.29314715799111,24.223578724887073,3.748713692085809,3631.563,2008-04-01 09:00:00,0.9403854504916722
10,discharge,24.0,1.8794508728285058,1.8711590450649882,4.198464224146956,3.534536640068787,0.29220641599968367,1.8871621432453276,0.439454184988277,32.46787845303298,40.268872630219796,24.13830760704513,3.757399994843755,3629.172,2008-04-01 12:00:00,0.9397254364142529
12,discharge,24.0,1.8807003517117404,2.1756867065903434,4.197967993115647,3.5411626672196816,0.26674308476358344,1.8675154082122565,0.47752624091693197,32.48624734055599,39.67620802332074,24.135840711684263,3.7187797514899983,3652.281,2008-04-01 15:00:00,0.9403501758558702
14,discharge,24.0,1.8799352523566075,2.1117887156019437,4.198023461704379,3.541165612176161,0.27118633921124835,1.8673359462519084,0.4774906738400573,32.55779966353037,39.803817662926164,24.255515986671373,3.7152261569509877,3650.828,2008-04-01 18:00:00,0.9399676261783038
16,discharge,24.0,1.8815088124038797,2.026250619894166,4.199372697237068,3.5494581176357975,0.27297824294152273,1.9063154499484403,0.3979115030496563,32.45374435641106,39.88810476942348,24.302952144966042,3.66750069286357,3572.453,2008-04-01 21:00:00,0.9407544062019398
18,discharge,24.0,1.8696907870385844,1.9505894332906037,4.19921182024681,3.5502805464079743,0.2771296154486181,1.9164348198845678,0.37443743546277825,32.373246444985035,39.95162250671474,24.257530932186896,3.662879470802171,3550.594,2008-04-02 00:00:00,0.9348453935192922
20,discharge,24.0,1.870052380139199,1.8688247067658061,4.198957678253482,3.5481347674910286,0.283812978267983,1.9165385597747795,0.3742086617157418,32.30534276235138,40.052021854718284,24.189583713016194,3.6783546666995868,3551.25,2008-04-02 03:00:00,0.9350261900695995
22,discharge,24.0,1.8700442394188577,1.7896213776724978,4.198832114024662,3.5484272148956437,0.28889633724718083,1.926771167846017,0.3483926910622938,32.183319483399806,40.1213838436794,24.062655752137022,3.687673913430504,3530.25,2008-04-02 06:00:00,0.9350221197094288
25,discharge,24.0,1.8596518987766364,1.910336108594535,4.198945227315025,3.5560433603714667,0.27604177175304995,1.936979366983281,0.3204322222158979,32.378853181816005,40.174657039770814,24.334878490739897,3.63791535075196,3491.016,2008-04-02 09:00:00,0.9298259493883182
27,discharge,24.0,1.8590746560862206,1.9086884059809102,4.1990513028067955,3.5604849642800684,0.2717170193494012,1.9470891822561436,0.2882487625048244,32.2913249500013,40.016434730174936,24.352069874766624,3.582678179632668,3470.281,2008-04-02 12:00:00,0.9295373280431103
29,discharge,24.0,1.8590084577709232,1.7868782934275431,4.198107645780677,3.5562872542469752,0.2826191895837473,1.946961601670498,0.2883646179237529,32.14782797344657,40.16569230743226,24.125190486792466,3.622670216832461,3470.0,2008-04-02 15:00:00,0.9295042288854616
31,discharge,24.0,1.8593622586957048,2.1361343961784502,4.19925638222589,3.5647746218187324,0.2549992595793087,1.946851050742258,0.28894202027233323,32.01380948237792,39.46139677634257,24.072501109913752,3.570709862627515,3450.297,2008-04-02 18:00:00,0.9296811293478524
33,discharge,24.0,1.8587355450601035,2.0133501283179167,4.199087384946408,3.565438928797127,0.2598113371383103,1.957412809315224,0.25171076392728675,31.881310103471357,39.5636595172155,23.938131916668528,3.5607713646101002,3429.407,2008-04-02 21:00:00,0.9293677725300518
35,discharge,24.0,1.847817291322145,1.8575547668336483,4.199009971925293,3.565961679108638,0.26669381029351313,1.9680136940585706,0.20658857155432495,31.854304304240515,39.628948319501816,23.932016714666645,3.552969052142723,3409.484,2008-04-03 00:00:00,0.9239086456610724
37,discharge,24.0,1.8485252916137047,2.1657556124208934,4.1985172274243965,3.572496559005355,0.2443446202400194,1.9680547468944674,0.20727562782238032,31.856555404576753,39.225347214914876,23.976819790445433,3.5240064913765976,3390.422,2008-04-03 03:00:00,0.9242626458068524
39,discharge,24.0,1.848378951850034,2.0270686341513207,4.198245740608724,3.5699492020415136,0.25329366708168694,1.9680218912213907,0.20716884485636725,31.867182607083926,39.4126321606434,23.980775695020398,3.5311983271559155,3390.281,2008-04-03 06:00:00,0.924189475925017
42,discharge,24.0,1.8807805437609766,1.905311669649934,4.196262462698172,3.5464338449590023,0.2870418502164071,1.9066656790606797,0.3970264906393026,32.35216872128999,39.95874037686836,24.35868522365832,3.6200786747538674,3591.734,2008-04-03 09:00:00,0.9403902718804883
46,discharge,24.0,1.8814721597443598,1.7951975189442124,4.1969587758867,3.5531968089006387,0.28839720112764217,1.9267198323744987,0.34743557997528324,32.60219299451182,40.31302300333008,24.65025766803762,3.609319632122495,3552.297,2008-04-03 12:00:00,0.9407360798721799
50,discharge,24.0,1.8810954313244785,2.1058524852518143,4.197071720130598,3.5599340214678805,0.262396085205122,1.9261058568907057,0.3484920989459363,32.19571819720114,39.359447242364645,24.306273974736932,3.5383074860799546,3531.578,2008-04-03 15:00:00,0.9405477156622393
54,discharge,24.0,1.8710089649779995,1.846021007590992,4.19690260801443,3.5595604968237993,0.2755055664428783,1.9468405917249594,0.28754259789672953,31.805988160181123,39.454159451189874,23.946713982155597,3.5365956799637424,3492.907,2008-04-03 18:00:00,0.9355044824889998
58,discharge,24.0,1.8701995151941375,1.7370300333706354,4.1966416719103465,3.552385161941813,0.28817671720490146,1.9364196896718646,0.31982012695944373,31.737001978644926,39.641748274009444,23.7951049382806,3.6015349556344587,3511.594,2008-04-03 21:00:00,0.9350997575970688
62,discharge,24.0,1.8706715362800985,2.0506492642329937,4.1971302559922,3.5707670304281067,0.2505087558173121,1.9675984733558025,0.20616966472270115,31.51707667966367,38.86906912217273,23.718457017715572,3.467097459094623,3431.9370000000054,2008-04-04 00:00:00,0.9353357681400493
66,discharge,24.0,1.8596124644020169,1.8254369744762284,4.19652461108806,3.5657224847439295,0.26724293226716145,1.9680130544442065,0.20601669067896197,31.442860781038384,39.11839966443177,23.64183560576637,3.4910890369414163,3431.125,2008-04-04 03:00:00,0.9298062322010084
70,discharge,24.0,1.860033909718346,2.134879000684994,4.196790308710931,3.5712835067487094,0.24546299726358747,1.9675631762844843,0.2067971048262254,31.32326275303232,38.68010761281634,23.519892775337357,3.477481789559444,3412.406,2008-04-04 06:00:00,0.930016954859173
