cycle,type,ambient_temperature,capacity,voltage_min,voltage_max,voltage_mean,voltage_std,current_mean,current_std,temperature_mean,temperature_max,temperature_min,temperature_std,discharge_time,timestamp,SOH
2,discharge,24.0,1.8564874208181574,2.612467347907089,4.191491807505295,3.5298286688693397,0.2359570706808563,1.818711710270297,0.593546181674474,32.572328114029,38.98218133148803,24.325993424022467,3.4869204762216834,3690.234,2008-04-01 00:00:00,0.9282437104090787
4,discharge,24.0,1.846327249719927,2.587208728940726,4.189773213846608,3.5373201277859714,0.23476492928592219,1.8176438989718113,0.5951796218062511,32.72523522519307,39.033397966787035,24.685948163596,3.4267342264664666,3672.344,2008-04-01 03:00:00,0.9231636248599635
6,discharge,24.0,1.8353491942234077,2.6519168938437794,4.188186735991303,3.5437367282719,0.22752543549673088,1.8165423469233573,0.5964980204475099,32.64286193755933,38.818796689817404,24.734266163954402,3.379475042762775,3651.641,2008-04-01 06:00:00,0.9176745971117038
8,discharge,24.0,1.8352625275821128,2.592947964776547,4.188461118855572,3.5436661072601456,0.23274431724182537,1.8256179748849433,0.5834624841611844,32.51487646204882,38.7623045063458,24.652243741292516,3.3865437316993527,3631.563,2008-04-01 09:00:00,0.9176312637910564
10,discharge,24.0,1.8346455082120419,2.547419651124539,4.188298524761055,3.5423432526672167,0.2366885716567803,1.8261478651693803,0.5834685498827803,32.38234901543077,38.66539257343368,24.518700434435164,3.3958806914600226,3629.172,2008-04-01 12:00:00,0.9173227541060209
12,discharge,24.0,1.8356616600675495,2.5209480504077413,4.188815807948604,3.5413347346347575,0.23931625998293235,1.8168998532879652,0.5967015706365189,32.43418218230641,38.75169504640032,24.51442664842638,3.4173255675455376,3652.281,2008-04-01 15:00:00,0.9178308300337747
14,discharge,24.0,1.8351461429226603,2.487927319492314,4.18839163793879,3.5410250495075215,0.2425153341196382,1.8168378953364732,0.5964919190059063,32.480416444757985,38.8207012322275,24.575581239008407,3.419542558294876,3650.828,2008-04-01 18:00:00,0.9175730714613302
16,discharge,24.0,1.8257567905665537,2.6652049047458775,4.188927891511958,3.554133296801584,0.22731251096165395,1.8444082717328028,0.5573831672048897,32.41046186109587,38.51713023385634,24.71132429046902,3.3516161723228617,3572.453,2008-04-01 21:00:00,0.9128783952832769
18,discharge,24.0,1.8247738529891333,2.6038584726333673,4.189029250882121,3.5529355991467955,0.2324538495076242,1.854064004450843,0.5424840616663397,32.3461408313,38.526267904657,24.628487294051176,3.3724043396197616,3550.594,2008-04-02 00:00:00,0.9123869264945667
20,discharge,24.0,1.824613268496936,2.552853984885676,4.189223427076418,3.5512057319376997,0.23672870147542147,1.853658588102974,0.5423346882876612,32.27679750791685,38.52698128472781,24.561560340089137,3.384318782535614,3551.25,2008-04-02 03:00:00,0.912306634248468
22,discharge,24.0,1.8246195526864504,2.4724483018527317,4.188916055911241,3.549292319740949,0.2430973444996006,1.863423718930417,0.5267409991401001,32.15709350345252,38.54143406601644,24.43128509546442,3.4192563180601603,3530.25,2008-04-02 06:00:00,0.9123097763432252
25,discharge,24.0,1.8142019357673917,2.64956413267546,4.189876247266316,3.559759220648976,0.22886185175957943,1.8730031464912946,0.5116979707844124,32.36407129853099,38.52197451768004,24.74037188089418,3.3635991447660745,3491.016,2008-04-02 09:00:00,0.9071009678836959
27,discharge,24.0,1.8137521577549054,2.5724981777366227,4.189286794768804,3.558081969139198,0.23460775776275253,1.8826602424674959,0.4942824152307196,32.3181954403762,38.582485834057856,24.733107699311514,3.3739283176724415,3470.281,2008-04-02 12:00:00,0.9068760788774527
29,discharge,24.0,1.8134404914735822,2.5249886697730286,4.188837765892728,3.555692244172496,0.237911318298918,1.8825977111170087,0.49428703573729343,32.15709029211502,38.520294134873915,24.44798340505406,3.426023279669047,3470.0,2008-04-02 15:00:00,0.9067202457367911
31,discharge,24.0,1.8025980036306504,2.694621861688723,4.189110301768517,3.562746818017503,0.22392608690207388,1.8818235264274379,0.49541451927035984,32.04407000314609,38.21358592965045,24.463097121123557,3.360458061989185,3450.297,2008-04-02 18:00:00,0.9012990018153252
33,discharge,24.0,1.80210690024615,2.64010141737067,4.18921207304098,3.5614521756489204,0.22796979172772144,1.892259778387913,0.4770160473926998,31.931593674911532,38.1983618706913,24.32051139249706,3.385244667118977,3429.407,2008-04-02 21:00:00,0.901053450123075
35,discharge,24.0,1.802579500826209,2.5739035098380962,4.188899969428112,3.5603420474985823,0.23297600498562532,1.9027782137498737,0.4571130109358775,31.941655359029298,38.31926916027133,24.357321702352365,3.4008083552683144,3409.484,2008-04-03 00:00:00,0.9012897504131046
37,discharge,24.0,1.8030683142834096,2.4942396831720126,4.188779799856791,3.5591189041401865,0.23873643876806222,1.9133470605822436,0.4358942318853322,31.965008645476725,38.4787542519308,24.382419922756025,3.414795247499799,3390.422,2008-04-03 03:00:00,0.9015341571417048
39,discharge,24.0,1.8027776247196041,2.4556793246645583,4.189272591516219,3.557886771846508,0.24145031412156678,1.9132081421080984,0.43619046586394566,31.966241678512723,38.54659017774874,24.355030419469987,3.433369080629228,3390.281,2008-04-03 06:00:00,0.9013888123598021
42,discharge,24.0,1.8470259949329193,2.632142800798914,4.187614060563439,3.5520375235511907,0.23416563071224794,1.8554552597994574,0.5400579358950733,32.37143341978575,38.44749852224995,24.549424447285215,3.358265608227543,3591.734,2008-04-03 09:00:00,0.9235129974664597
46,discharge,24.0,1.847417311283644,2.5027764692056795,4.1876287811083985,3.5525668436897124,0.2441722414090925,1.8747434663359825,0.5078881766945342,32.70024990461686,38.992275791716615,24.917503693363493,3.4144547200965945,3552.297,2008-04-03 12:00:00,0.923708655641822
50,discharge,24.0,1.8361774213478947,2.617507742871704,4.187447226312926,3.556794038327039,0.23311973567394634,1.8738792670691689,0.5090210348494151,32.32266411829938,38.51424197364312,24.56596639952811,3.395181230789341,3531.578,2008-04-03 15:00:00,0.9180887106739474
54,discharge,24.0,1.8257807475776242,2.694074478000972,4.187344026387161,3.5614100044534203,0.22484633144049296,1.883276367037806,0.49304941109665107,31.98795810666763,38.165816144899125,24.21658146702539,3.404274898198559,3492.907,2008-04-03 18:00:00,0.9128903737888121
58,discharge,24.0,1.8251136435078368,2.6237674644021887,4.187438187636325,3.5566107947817986,0.23067449635182954,1.8733320556361162,0.51045002675325,31.894456524691385,38.16526203587147,24.054990657817566,3.436465900023053,3511.594,2008-04-03 21:00:00,0.9125568217539184
62,discharge,24.0,1.8255815042203762,2.5010798299873738,4.18774138117799,3.5586742170266272,0.23845858592777874,1.9139789784762269,0.4336815885962881,31.78039681801023,38.27549578575718,24.024851602995685,3.4449494445307676,3431.9370000000054,2008-04-04 00:00:00,0.9127907521101881
66,discharge,24.0,1.8140311275083907,2.6849988185249796,4.188261122540052,3.564103182686905,0.22371289710668404,1.9031048926498,0.45609178373993275,31.688747146342205,37.982160799183106,23.93622764909489,3.4231952488727075,3431.125,2008-04-04 03:00:00,0.9070155637541953
70,discharge,24.0,1.8147691941158939,2.547109116468133,4.187338767288234,3.559588063594272,0.23399060506233524,1.913471143750189,0.434873129767018,31.596747992569153,38.11100191887773,23.811534187517502,3.461139819499428,3412.406,2008-04-04 06:00:00,0.9073845970579469
74,discharge,24.0,1.813969388710352,2.471314764334132,4.187560306288175,3.556833231052199,0.23947202414141244,1.913620909902553,0.43491395027052004,31.565586498787077,38.18831137948753,23.754765330883426,3.480274215150429,3410.688,2008-04-04 09:00:00,0.906984694355176
78,discharge,24.0,1.802765665167823,2.6613903306108773,4.18805176248713,3.5624410850948944,0.22469381728284948,1.9026476995844432,0.45735642874148813,31.59124667045208,37.998541119085836,23.79410930748377,3.455173082508427,3410.718,2008-04-04 12:00:00,0.9013828325839115
82,discharge,24.0,1.804077040117352,2.541762355407921,4.187667484260542,3.5591407106855666,0.2337381121665522,1.9130823665540544,0.4362089113558066,31.603485399391182,38.194201649765226,23.801300986918452,3.4825819327963465,3392.719,2008-04-04 15:00:00,0.902038520058676
86,discharge,24.0,1.8518025516704486,2.628919415830567,4.2010701773378685,3.5573161327793144,0.2244802327371113,1.9206226860865134,0.4205282536761078,31.91556385491565,38.45796400011448,23.78129749955371,3.5076959837591097,3470.672,2008-04-04 18:00:00,0.9259012758352243
90,discharge,24.0,1.8307038456739428,2.6312552691827045,4.1996223345495824,3.561870782772737,0.22326557144507364,1.9298947547733054,0.399294272689169,32.081128118597164,38.49126351534004,24.2036410699716,3.3915014198167084,3414.109,2008-04-04 21:00:00,0.9153519228369714
94,discharge,24.0,1.8199041089501267,2.654880745360911,4.199853323702163,3.5617586337260088,0.22104596048351946,1.929319271264108,0.4002852377219257,31.849792632896243,38.31473393357882,24.00078927251757,3.3803301579998144,3395.219,2008-04-05 00:00:00,0.9099520544750633
98,discharge,24.0,1.8093079637028517,2.6749688422803803,4.199103467081427,3.5597307651083123,0.21897224844365457,1.923358415235126,0.4135159697940358,31.465690433362017,37.861934640176806,23.53999092882516,3.416430218751927,3386.0,2008-04-05 03:00:00,0.9046539818514259
102,discharge,24.0,1.80460990458052,2.6159705726789904,4.199998536865001,3.5575937553540915,0.22364252387843475,1.9285088406920838,0.40194096557758924,31.40934895665031,37.90665575786083,23.566095747572557,3.39766676229326,3368.187,2008-04-05 06:00:00,0.90230495229026
106,discharge,24.0,1.7993770651972192,2.658447162110498,4.19967522099872,3.5597237883937995,0.22067304968852833,1.9231516515854177,0.4145005123309109,31.902247475518077,38.34003238560517,23.9730227457941,3.4319633187951024,3368.266,2008-04-05 09:00:00,0.8996885325986096
